"featureNames","featureDescriptions"
"c2_freqA12","For sites of class 2: Frequency of adenine at position 12"
"c2_freqA13","For sites of class 2: Frequency of adenine at position 13"
"c2_freqA14","For sites of class 2: Frequency of adenine at position 14"
"c2_freqA15","For sites of class 2: Frequency of adenine at position 15"
"c2_freqA16","For sites of class 2: Frequency of adenine at position 16"
"c2_freqA17","For sites of class 2: Frequency of adenine at position 17"
"c2_freqA18","For sites of class 2: Frequency of adenine at position 18"
"c2_freqA19","For sites of class 2: Frequency of adenine at position 19"
"c2_freqA20","For sites of class 2: Frequency of adenine at position 20"
"c2_freqA21","For sites of class 2: Frequency of adenine at position 21"
"c2_freqA22","For sites of class 2: Frequency of adenine at position 22"
"c2_freqA23","For sites of class 2: Frequency of adenine at position 23"
"c2_freqA24","For sites of class 2: Frequency of adenine at position 24"
"c2_freqA25","For sites of class 2: Frequency of adenine at position 25"
"c2_freqA26","For sites of class 2: Frequency of adenine at position 26"
"c2_freqA27","For sites of class 2: Frequency of adenine at position 27"
"c2_freqA28","For sites of class 2: Frequency of adenine at position 28"
"c2_freqA29","For sites of class 2: Frequency of adenine at position 29"
"c2_freqA30","For sites of class 2: Frequency of adenine at position 30"
"c2_freqU-10","For sites of class 2: Frequency of uracil at position -10"
"c2_freqU-9","For sites of class 2: Frequency of uracil at position -9"
"c2_freqU-8","For sites of class 2: Frequency of uracil at position -8"
"c2_freqU-7","For sites of class 2: Frequency of uracil at position -7"
"c2_freqU-6","For sites of class 2: Frequency of uracil at position -6"
"c2_freqU-5","For sites of class 2: Frequency of uracil at position -5"
"c2_freqU-4","For sites of class 2: Frequency of uracil at position -4"
"c2_freqU-3","For sites of class 2: Frequency of uracil at position -3"
"c2_freqU-2","For sites of class 2: Frequency of uracil at position -2"
"c2_freqU-1","For sites of class 2: Frequency of uracil at position -1"
"c2_freqU1","For sites of class 2: Frequency of uracil at position 1"
"c2_freqU2","For sites of class 2: Frequency of uracil at position 2"
"c2_freqU3","For sites of class 2: Frequency of uracil at position 3"
"c2_freqU4","For sites of class 2: Frequency of uracil at position 4"
"c2_freqU5","For sites of class 2: Frequency of uracil at position 5"
"c2_freqU6","For sites of class 2: Frequency of uracil at position 6"
"c2_freqU7","For sites of class 2: Frequency of uracil at position 7"
"c2_freqU8","For sites of class 2: Frequency of uracil at position 8"
